x, y, sigmaxx, sigmaxy, sigmayx, sigmayy,
0.779913,0.722413,0.0188397,0.0342893,0.0342893,0.0641216,
1.19545,0.535063,0.0208892,-0.00171888,-0.00171888,0.0186193,
1.03211,0.563929,0.00541299,0.00283651,0.00283651,0.00355763,
1.35877,0.703667,0.00577125,0.00113197,0.00113197,0.00318497,
1.71966,0.648446,0.00523605,0.00123826,0.00123826,0.00229601,
2.03462,0.698956,0.00518542,0.000329645,0.000329645,0.0027036,
2.27665,0.698632,0.00492758,0.000332902,0.000332902,0.00240124,
2.56596,0.724785,0.0047203,-0.000166068,-0.000166068,0.00308596,
2.8481,0.709108,0.0045703,-6.37225e-05,-6.37225e-05,0.00293112,
3.09645,0.716524,0.00434936,-0.000331927,-0.000331927,0.00364599,
3.39229,0.644275,0.00429067,-0.000227192,-0.000227192,0.00357784,
3.70716,0.578325,0.004096,-0.000369107,-0.000369107,0.00422401,
3.98896,0.594126,0.00409028,-0.000287303,-0.000287303,0.00429084,
4.27109,0.583745,0.00392178,-0.000339869,-0.000339869,0.00481522,
4.5282,0.601625,0.00395143,-0.000291796,-0.000291796,0.0050136,
4.71591,0.675072,0.00381297,-0.000304785,-0.000304785,0.0053646,
4.96798,0.671294,0.00386489,-0.000297417,-0.000297417,0.00562948,
5.27045,0.666184,0.00375212,-0.000303356,-0.000303356,0.00579318,
5.53204,0.67154,0.00381182,-0.000313922,-0.000313922,0.00621431,
5.83254,0.682266,0.00371397,-0.000305268,-0.000305268,0.00618447,
6.07232,0.624862,0.00377975,-0.000337588,-0.000337588,0.00677156,
6.32649,0.71538,0.00369094,-0.000313289,-0.000313289,0.0065411,
6.57681,0.744203,0.00376175,-0.000367474,-0.000367474,0.00725234,
6.82284,0.744436,0.00367846,-0.000329419,-0.000329419,0.00683339,
7.06415,0.730171,0.00375186,-0.000398158,-0.000398158,0.00767527,
7.27681,0.808519,0.00367137,-0.000345513,-0.000345513,0.00708131,
7.57715,0.822484,0.00374902,-0.000437962,-0.000437962,0.00803311,
7.83225,0.801356,0.0036699,-0.000372031,-0.000372031,0.00728321,
8.08009,0.818376,0.00374611,-0.000463415,-0.000463415,0.00838381,
8.3156,0.834994,0.00366664,-0.000380434,-0.000380434,0.00747935,
8.58966,0.92518,0.00374435,-0.00048356,-0.00048356,0.00868866,
8.83257,0.985378,0.00366472,-0.00038811,-0.00038811,0.00764446,
9.12498,1.02382,0.00375005,-0.000533851,-0.000533851,0.00896512,
9.36589,1.05535,0.00367003,-0.000426782,-0.000426782,0.00778815,
9.64723,1.12928,0.00375712,-0.000585614,-0.000585614,0.00921596,
9.9269,1.26203,0.00367515,-0.000461008,-0.000461008,0.00791648,
10.1723,1.34414,0.0037726,-0.000668703,-0.000668703,0.00943944,
10.3932,1.4237,0.00368784,-0.000523527,-0.000523527,0.00802522,
10.6232,1.49403,0.00379248,-0.000761095,-0.000761095,0.00961875,
10.841,1.51955,0.00370305,-0.000589611,-0.000589611,0.00810899,
11.1124,1.56198,0.00380962,-0.000836806,-0.000836806,0.00977025,
11.3948,1.60813,0.00371453,-0.000637868,-0.000637868,0.00818005,
11.6263,1.64921,0.00382169,-0.000892109,-0.000892109,0.00992294,
11.853,1.71884,0.00372152,-0.000668895,-0.000668895,0.00825347,
12.1137,1.80258,0.00383188,-0.000937809,-0.000937809,0.0100538,
12.3589,1.83318,0.00372783,-0.000695737,-0.000695737,0.00831489,
12.6185,1.8819,0.00384085,-0.000977729,-0.000977729,0.0101756,
12.819,2.03381,0.00373346,-0.000719264,-0.000719264,0.00837166,
13.0899,2.14095,0.00385643,-0.00103597,-0.00103597,0.0102747,
13.2968,2.29544,0.00374532,-0.000760694,-0.000760694,0.00841394,
13.4717,2.42145,0.00388216,-0.00112061,-0.00112061,0.0103532,
13.7205,2.54837,0.00376522,-0.000822767,-0.000822767,0.00844293,
13.9416,2.6467,0.00391534,-0.00121951,-0.00121951,0.0104101,
14.1694,2.81494,0.00378995,-0.000893183,-0.000893183,0.00846012,
14.423,2.92158,0.00395411,-0.00132584,-0.00132584,0.0104555,
14.6314,2.99059,0.003818,-0.000966899,-0.000966899,0.00847114,
14.8655,3.13917,0.00398686,-0.00141249,-0.00141249,0.0105047,
15.0776,3.34855,0.00383943,-0.00102147,-0.00102147,0.00848762,
15.2903,3.4953,0.00403005,-0.0015161,-0.0015161,0.0105338,
15.5049,3.69765,0.00387093,-0.00109385,-0.00109385,0.0084891,
